,eng,tok
847,you see what i meant to do he explained as he turned headoverheels,o sona e ni taso mi wile e ni li toki ona lon tenpo ni lawa li kama lon anpa noka

848,and crashed on to another branch thirty feet below,ona li kiwen utala tawa palisa kasi ante lon anpa sin sin

849,what i meant to do ,taso mi wile e ni  

850,of course it was rather  he admitted as he slithered very quickly through the next six branches,taso ni li sona   li toki ona lon tenpo ni tenpo pi lili mute la ona li tawa lon ale poka pi palisa kasi mute tu

851,it all comes i suppose he decided as he said goodbye to the last branch spun round three times and flew gracefully into a gorsebush,tawa mi la ale ni li tan ni li toki sona ona lon tenpo ni ona li toki e tawa pona tawa palisa kasi pi nanpa pini li tawa sike lon tenpo mute li tawa lon kon tawa kasi pi palisa utala

852,it all comes of liking honey so much,ale li tan ni tawa jan la ko suwi li pona ni

853,oh help,o pana e pona

854,he crawled out of the gorsebush brushed the prickles from his nose and began to think again,ona li tawa weka tan kasi pi palisa utala li weka e wan pi palisa utala tan nena pi sinpin lawa ona li kama toki insa lon tenpo sin

855,and the first person he thought of was christopher robin,jan nanpa wan pi toki insa ona li jan kitopa jopin

856,was that me said christopher robin in an awed voice,mi li toki pi jan kitopa jopin tan pilin pi sin nasa

857,hardly daring to believe it,tawa ona la ni li ike sona

858,that was you,sina

859,christopher robin said nothing,jan kitopa jopin li toki ala

860,but his eyes got larger and larger,taso lukin ona li kama suli li kama suli sin

861,and his face got pinker and pinker,sinpin lawa ona li kama loje li kama loje sin

862,so winniethepooh went round to his friend christopher robin,ni la soweli wini pu li tawa jan pona ona kitopa jopin

863,who lived behind a green door in another part of the forest,tomo ona li lon wan ante pi ma pi kasi suli li jo e lupa tomo laso

864,good morning christopher robin he said,tenpo suno pona jan kitopa jopin o li toki ona

865,good morning winnietherpooh said you,tenpo suno pona soweli wini pu o li toki sina

866,i wonder if you’ve got such a thing as a balloon about you,mi wile sona e ni sina jo e sike kon kule lon poka sike sina anu seme

867,a balloon,sike kon kule

868,yes,sike kon kule

869,i just said to myself coming along,mi tawa ni mi toki e ni tawa mi sama

870,‘i wonder if christopher robin has such a thing as a balloon about him’,‘jan kitopa jopin li jo e sike kon kule anu seme’

871,i just said it to myself,mi toki e ni tawa mi sama

872,thinking of balloons,mi toki insa e ijo pi sike kon

873,and wondering,mi kama wile sona

874,what do you want a balloon for you said,tan seme la sina wile e sike kon li toki sina

875,winniethepooh looked round to see that nobody was listening,soweli wini pu li lukin tawa poka sike ona li lukin e ni jan ala li kute

876,put his paw to his mouth and said in a deep whisper,ona li lon uta ona e luka ona li toki kepeken uta suli e ni

877,honey,ko suwi

878,but you don’t get honey with balloons,taso jan li ken ala alasa e ko suwi kepeken sike kon

879,i do said pooh,mi ken li toki pi soweli pu

880,well it just happened that you had been to a party the day before at the house of your friend piglet,a tenpo suno pini la sina lon kulupu musi lon tomo pi jan pona soweli lili

881,and you had balloons at the party,sina jo e sike kon mute lon kulupu musi ni

882,you had had a big green balloon,sina jo e sike kon suli pi laso kasi

883,and one of rabbit’s relations had had a big blue one,jan poka pi soweli pi kute suli li jo e wan suli pi laso sewi

884,and had left it behind being really too young to go to a party at all,ona li awen e sike kon lon ni li tawa weka tan ni ona li lili ike li ken ala lon kulupu musi a

885,and so you had brought the green one and the blue one home with you,ni la sina tawa tomo sina e wan pi laso kasi e wan pi laso sewi

886,which one would you like you asked pooh,sina wile e ona seme li toki sina tawa soweli pu

887,he put his head between his paws and thought very carefully,ona li lon luka ona e lawa ona li toki insa li pilin lon tenpo suli

888,it’s like this he said,ni li lon li toki ona

889,when you go after honey with a balloon the great thing is not to let the bees know you’re coming,jan li alasa e ko suwi kepeken sike kon la ni li suli tawa pipi kon pi ko suwi la jan li pana ala e sona ni ona li kama

890,now if you have a green balloon they might think you were only part of the tree,tan ni la jan li jo e sike kon pi laso kasi la tawa ona mute la jan li wan pi kasi suli

891,and not notice you,kepeken ni la ona mute li ken ala kama lukin e jan

892,and if you have a blue balloon they might think you were only part of the sky,jan li jo e sike kon pi laso sewi la tawa ona mute la jan li wan sewi

893,and not notice you,kepeken ni la ona mute li ken ala kama lukin e jan

894,and the question is,mi wile sona e ni

895,which is most likely,seme li ken suli

896,wouldn’t they notice you underneath the balloon you asked,seme anu ona li kama lukin e sina lon anpa pi sike kon li toki sina

897,they might or they might not said winniethepooh,ken anu ken ala li toki pi soweli wini pu

898,you never can tell with bees,tenpo ala la jan li ken kama sona e ijo pi pipi kon pi ko suwi

899,he thought for a moment and said,tenpo lili la ona li toki insa li toki e ni

900,i shall try to look like a small black cloud,mi o lukinsama kontelopimejalili lon sewi

901,that will deceive them,kepeken ni la ona mute li ken ala kama sona

902,then you had better have the blue balloon you said,ni la sina o jo e sike kon pi laso sewi li toki sina

903,and so it was decided,ni li kama

904,well you both went out with the blue balloon,ni la sina tu li tawa weka li jo e sike kon pi laso sewi

905,and you took your gun with you just in case as you always did,sina li tawa li jo e ilo alasa tan ken pi ike kama sina pali ni lon tenpo ale

906,and winniethepooh went to a very muddy place that he knew of,soweli wini pu li tawa ma telo ona li sona e ona

907,and rolled and rolled until he was black all over,ona li anpa lon supa ona li tawa sike li tawa sike li pini kama e ni selo ona ale li kama pimeja

908,and then when the balloon was blown up as big as big,pini ni la sike kon li kama suli ale

909,and you and pooh were both holding on to the string,sina en soweli pu li awen e linja

910,you let go suddenly,tenpo lili la sina pini awen e ona

911,and pooh bear floated gracefully up into the sky and stayed there  level with the top of the tree and about twenty feet away from it,soweli pi luka wawa pu li pona lukin li lon kon li tawa sewi li awen lon ni  li lon sewi sama lawa pi kasi suli li lon weka ona

912,hooray you shouted,pona a li toki wawa sina

913,isn’t that fine shouted winniethepooh down to you,seme anu ni li pona li toki wawa pi soweli wini pu tawa sina lon anpa

914,what do i look like,

915,you look like a bear holding on to a balloon you said,sina sama soweli pi luka wawa ona li awen e sike kon li toki sina

916,not said pooh anxiously  not like a small black cloud in a blue sky,soweli pu li pilin akesi li toki e ni seme anu mi sama ala kon telo pimeja lili lon sewi laso

917,not very much,mute ala

918,ah well perhaps from up here it looks different,a ken la tawa sewi ni la ni li ante

919,and as i say you never can tell with bees,mi toki a e ni tenpo ala la jan li ken kama sona e ijo pi pipi kon pi ko suwi

920,there was no wind to blow him nearer to the tree,kon ala li tawa poka pi kasi suli e ona

921,so there he stayed,tan ni la ona li awen lon ni

922,he could see the honey he could smell the honey but he couldn’t quite reach the honey,ona li ken lukin e ko suwi li ken pilin e kon ona taso ona li ken ala luka e ko suwi

923,after a little while he called down to you,pini pi tenpo lili la ona li toki wawa tawa sina lon anpa

924,christopher robin he said in a loud whisper,jan kitopa jopin o li toki kon wawa ona

925,hallo,toki

926,i think the bees suspect something,tawa mi la pipi kon pi ko suwi li pilin pi ken pi ike kama

927,what sort of thing,ike seme

928,i don’t know,mi sona ala

929,but something tells me that they’re suspicious,taso tan ijo la tawa mi la ona mute li pilin pi ken pi ike kama

930,perhaps they think that you’re after their honey,ken la tawa ona mute la sina wile alasa e ko suwi ona

931,it may be that,ken

932,you never can tell with bees,tenpo ala la jan li ken kama sona e ijo pi pipi kon pi ko suwi

933,there was another little silence,weka kalama lili sin li lon

934,and then he called down to you again,pini ona la ona li toki wawa tawa sina lon tenpo sin

935,christopher robin,jan kitopa jopin o

936,yes,a

937,have you an umbrella in your house,sina jo e len utala tawa telo tan sewi anu seme

938,i think so,tawa mi la jo

939,i wish you would bring it out here,mi wile e ni sina lon ni e ona

940,and walk up and down with it,sina tawa mute lon nasin sama

941,and look up at me every now and then,

942,and say ‘tuttut it looks like rain’,sina toki e ni mumu tawa mi la telo li kama lon tan sewi

943,i think if you did that it would help the deception which we are practising on these bees,tawa mi la sina pali ni la ni li pana e pona ni mi tu li ken lawa ike e pipi kon pi ko suwi

944,well you laughed to yourself silly old bear,a sina a musi tawa sina sama e ni soweli nasa pi luka wawa o

945,but you didn’t say it aloud because you were so fond of him,taso sina toki kalama ala tan ni tawa sina la ona li pona suli

946,and you went home for your umbrella,tan ni la sina tawa tomo sina wile e len utala tawa telo tan sewi

947,oh there you are called down winniethepooh as soon as you got back to the tree,a sina kama lon a li toki wawa pi soweli wini pu tawa anpa lon tenpo ni sina kama sin lon kasi suli

948,i was beginning to get anxious,mi kama pilin akesi

949,i have discovered that the bees are now definitely suspicious,mi kama sona e ni pipi kon pi ko suwi li kama sona e ken pi kama ike

950,shall i put my umbrella up you said,mi o sinpin e len utala tawa telo tan sewi anu seme li toki sina

951,yes but wait a moment,sinpin taso o awen lon tenpo lili

952,we must be practical,mi o kama lukin e pona pali

953,the important bee to deceive is the queen bee,pipi kon suli pi ko suwi li pipi lawa taso mi tu o toki ike e ona

954,can you see which is the queen bee from down there,sina lon anpa li ken lukin e pipi lawa anu seme

955,no,ala

956,a pity,ike

957,well now if you walk up and down with your umbrella saying ‘tuttut it looks like rain’,ni la o tawa mute lon nasin sama o toki e ni mumu tawa mi la telo li kama lon tan sewi

958,i shall do what i can by singing a little cloud song such as a cloud might sing…,mi ken pali ni taso mi pana e kalama musi pi kon telo lon sewi sama kon telo lon sewi…

959,go,o tawa

960,so while you walked up and down,ni la sina tawa mute lon nasin sama

961,and wondered if it would rain,sina toki e ni sina wile sona e ni telo tan sewi li kama anu seme

962,winniethepooh sang this song,tenpo sama la soweli wini pu li kalama musi e ni

963,how sweet to be a cloud,ni li suwi ijo li kon telo lon sewi

964,floating in the blue,li kon lon laso sewi

965,every little cloud,kon telo lili ale lon sewi

966,always sings aloud,li kalama musi e ni

967,how sweet to be a cloud,ni li suwi ijo li kon telo lon sewi

968,floating in the blue,li kon lon laso sewi

969,it makes him very proud,ona li pilin suli tan ni

970,to be a little cloud,ona li kon telo lili lon sewi

971,the bees were still buzzing as suspiciously as ever,sama tenpo pini ale la pipi kon pi ko suwi li kalama sss ni ona li pilin pi ken pi ike kama

972,some of them indeed left their nests and flew all round the cloud as it began the second verse of this song,a wan ona li tawa weka tan tomo ona li tawa lon poka sike pi kon telo lon sewi lon tenpo ni ona li pana e pini pi kalama musi ni

973,and one bee sat down on the nose of the cloud for a moment and then got up again,pipi kon wan pi ko suwi li kama anpa lon nena sinpin pi kon telo lon sewi lon tenpo lili li tawa weka

974,christopher  ow,jan kitopa  a

975, robin called out the cloud, jopin o li toki wawa pi kon telo lon sewi

976,yes,a

977,i have just been thinking,mi pini toki insa

978,and i have come to a very important decision,mi kama sona e ijo pi suli mute

979,these are the wrong sort of bees,pipi kon ni pi ko suwi li ike

980,are they,ni

981,quite the wrong sort,ike a

982,so i should think they would make the wrong sort of honey shouldn’t you,tan ni la ni li kama tawa mi ko suwi ona li ike

983,would they,ni

984,yes,a

985,so i think i shall come down,tan ni la mi wile kama sin lon anpa

986,how asked you,kepeken seme li toki sina

987,winniethepooh hadn’t thought about this,soweli wini pu li kama ala sona e ni

988,if he let go of the string he would fall  bump ,ona li weka e luka tan linja la ona li kiwen utala tawa anpa  pun

989,and he didn’t like the idea of that,tawa ona la ni li pona ala

990,so he thought for a long time and then he said,tan ni la ona li toki insa lon tenpo suli li toki e ni

991,christopher robin you must shoot the balloon with your gun,jan kitopa jopin o sina o tan e kiwen utala tawa sike kon kepeken ilo alasa sina

992,have you got your gun,ona li lon sina anu seme

993,of course i have you said,ni li sona lon li toki sina

994,but if i do that it will spoil the balloon you said,taso mi pali ni la ni li pakala e kon sike li toki sina

995,but if you don’t said pooh i shall have to let go,taso sina pali ni ala la  li toki pi soweli pu  mi wile weka e luka

996,and that would spoil me,ni li pakala e mi a

997,when he put it like this you saw how it was and you aimed very carefully at the balloon and fired,kepeken nimi ona ni la sina kama sona li lawa e ilo alasa tawa sike kon kepeken pilin mute li tan e kiwen utala

998,ow said pooh,a li toki pi soweli pu

999,did i miss you asked,mi tawa ijo ante e kiwen utala anu seme li toki sina

1000,you didn’t exactly miss said pooh but you missed the balloon,tawa ijo ante ala  li toki pi soweli pu  taso tawa sike kon ala

1001,i’m so sorry you said,mi pilin ike li toki sina

1002,and you fired again,sina tan e kiwen utala lon tenpo sin

1003,and this time you hit the balloon,tenpo ni la sina tawa sike kon e ona

1004,and the air came slowly out,kon li kama weka tan ona lon tenpo suli

1005,and winniethepooh floated down to the ground,soweli wini pu li kama lon anpa

1006,but his arms were so stiff from holding on to the string of the balloon all that time,taso luka ona li linja ala tan ni ona li awen e luka ona lon linja pi sike kon lon tenpo ale

1007,that they stayed up straight in the air for more than a week,tan ni la luka ona li awen sinpin lon pini pi tenpo suno esun a

1008,and whenever a fly came and settled on his nose he had to blow it off,pipi kon li kama anpa lon nena sinpin ona la tenpo ale la ona li wile weka e ona kepeken kon tan uta

1009,and i think  but i am not sure  that that is why he was always called pooh,tawa mi la  taso mi sona ala  tan ni la nimi ona li pu

1010,,

1011,is that the end of the story asked christopher robin,ni li pini toki li toki pi jan kitopa jopin

1012,that’s the end of that one,ni li pini pi wan ni

1013,there are others,taso wan ante li lon

1014,about pooh and me,pi ijo pi soweli pu en mi anu seme

1015,and piglet and rabbit and all of you,en soweli lili en soweli pi kute suli en sina ale

1016,don’t you remember,seme anu sina awen ala sona

1017,i do remember,mi awen sona

1018,and then when i try to remember i forget,taso mi lukin awen sona la mi pini sona

1019,that day when pooh and piglet tried to catch the heffalump ,tenpo suno ni soweli pu en soweli lili li wile alasa e soweli pi nena suli

1020,they didn’t catch it did they,ona tu li kama ala alasa e ona anu seme

1021,no,ala

1022,pooh couldn’t because he hasn’t any brain,soweli pu li ken ala tan ni ona li jo ala e lawa

1023,did i catch it,mi kama alasa e ona anu seme

1024,well that comes into the story,ni li wan toki

1025,christopher robin nodded,jan kitopa jopin li a kepeken lawa

1026,i do remember he said only pooh doesn’t very well,mi awen sona a  li toki ona  taso soweli pu li awen sona ala

1027,so that’s why he likes having it told to him again,tan ni la ona li wile e ni jan li toki e ona tawa ona lon tenpo sin

1028,because then it’s a real story and not just a remembering,tan ni kepeken ni la ni li toki lon li sona awen taso ala

1029,that’s just how i feel i said,tawa mi la ni li toki mi

1030,christopher robin gave a deep sigh picked his bear up by the leg and walked off to the door trailing pooh behind him,jan kitopa li a pi pilin ike li tan anpa e soweli ona pi luka wawa kepeken noka ona li tawa weka tawa lupa tomo li tawa e soweli pu lon anpa lon monsi ona

1031,at the door he turned and said coming to see me have my bath,lupa tomo la ona li tawa sike li toki e ni sina kama anu seme mi telo e mi

1032,i didn’t hurt him when i shot him did i,mi tan e kiwen utala tawa ona la mi pana ala e pilin ike tawa ona anu seme

1033,not a bit,ala

1034,he nodded and went out,ona li a kepeken lawa li tawa weka

1035,and in a moment i heard winniethepooh – bump bump bump – going up the stairs behind him,pini pi tenpo lili la mi kute e ni monsi ona la soweli wini pu li kalama pun pun pun li tawa sewi kepeken mute supa

1036,chapter ii,wan lipu nanpa tu

1037,in which pooh goes visiting and gets into a tight place,ona la soweli pu li tawa tomo pi jan ante li kama lon insa pi ijo lili

1038,edward bear known to his friends as winniethepooh or pooh for short was walking through the forest one day humming proudly to himself,soweli pi luka wawa etuwa  jan pona ona li sona e nimi ona wini pu anu pu taso  li tawa lon ma pi kasi suli lon tenpo suno wan li pilin suli li kalama musi kepeken uta pi open ala tawa ona sama

1039,he had made up a little hum that very morning as he was doing his stoutness exercises in front of the glass,ona li sitelen insa e kalama musi lon kama pi tenpo suno sama lon tenpo ni ona li pona e sijelo kepeken tawa lon sinpin lukin

1040,tralala tralala,talala talala

1041,as he stretched up as high as he could go,ona li sinpin e ona sama li suli pi mute ale e ona sama

1042,and then tralala tralaoh helpla,pini ni la talala tala  o pana e pona  la

1043,as he tried to reach his toes,ona li lukin luka e palisa noka

1044,after breakfast he had said it over and over to himself until he had learnt it off by heart,kama pi tenpo suno la ona li moku pini ni la ona li toki e ni tawa ona sama lon tenpo mute mute li kama lon insa pi lawa ona e kalama musi

1045,and now he was humming it right through properly,tenpo ni la ona li kalama musi pi pakala ala e ale ona

1046,it went like this,ona li sama ni

1047,tralala tralala,talala talala

1048,tralala tralala,talala talala

1049,rumtumtiddleumtum,luntunsiteluntun

1050,tiddleiddle tiddleiddle,sitelite sitelite

1051,tiddleiddle tiddleiddle,sitelite sitelite

1052,rumtumtumtiddleum,luntuntunsitelun

1053,well he was humming this hum to himself and walking along gaily wondering what everybody else was doing,ona li kalama musi tawa ona sama li pilin pona li tawa lon nasin li wile sona e ni jan ale li pali seme

1054,and what it felt like being somebody else,jan li jan ante la ni li seme tawa pilin

1055,when suddenly he came to a sandy bank,tenpo ni la ona li kama lon sinpin pi ko kiwen

1056,and in the bank was a large hole,nena ni la lupa li lon

1057,aha said pooh,a a li nimi pi soweli pu

1058,rumtumtiddleumtum,luntunsiteluntun

1059,if i know anything about anything that hole means rabbit he said,mi sona e ijo ijo la kon pi lupa ni li soweli pi kute suli li toki ona

1060,and rabbit means company he said,kon pi soweli pi kute suli li jan poka li toki ona

1061,and company means food and listeningtomehumming and such like,kon pi jan poka li moku li kute tawa kalama musi mi li ni

1062,rumtumtumtiddleum,luntunsiteleluntun

1063,so he bent down put his head into the hole and called out,ni la ona li kama anpa li lon insa lupa e lawa li toki wawa

1064,is anybody at home,jan li lon tomo anu seme

1065,there was a sudden scuffling noise from inside the hole,tenpo lili la kalama li kama

1066,and then silence,pini ona la kalama ala li lon

1067,what i said was ‘is anybody at home’ called out pooh very loudly,mi toki e ni jan li lon tomo anu seme li toki pi wawa mute pi soweli pu

1068,no said a voice,ala li toki pi kalama uta

1069,and then added you needn’t shout so loud,ona li toki sin e ni sina wile ala toki pi kalama pi suli ni

1070,i heard you quite well the first time,mi kute pi pona a e sina lon tenpo nanpa wan

1071,bother said pooh,ike li toki pi soweli pu

1072,isn’t there anybody here at all,jan ala li lon anu seme

1073,nobody,jan ala

1074,winniethepooh took his head out of the hole and thought for a little and he thought to himself there must be somebody there because somebody must have said ‘nobody’,soweli wini pu li tan lupa e lawa li toki insa lon tenpo wan li toki tawa ona sama e ni sona li ni jan li lon tomo tan ni jan li toki e ni ‘jan ala’

1075,so he put his head back in the hole and said,ni la tenpo sin la ona li lon insa lupa e lawa li toki e ni

1076,hallo rabbit isn’t that you,toki soweli pi kute suli o seme anu ni li sina

1077,no said rabbit in a different sort of voice this time,ala li toki pi soweli pi kute suli kepeken kalama uta ante lon tenpo ni

1078,but isn’t that rabbit’s voice,taso seme anu ni li kalama uta pi soweli pi kute suli

1079,i don’t think so said rabbit,tawa mi la ala li toki pi soweli pi kute suli

1080,it isn’t meant to be,ni li wile ala

1081,oh said pooh,a li toki pi soweli pu

1082,he took his head out of the hole and had another think and then he put it back and said,ona li tan lupa e lawa li toki insa lon tenpo sin li lon sin e ona li toki e ni

1083,well could you very kindly tell me where rabbit is,sina ken toki e ni tawa mi anu seme soweli pi kute suli li lon seme

1084,he has gone to see his friend pooh bear who is a great friend of his,ona li tawa tomo pi soweli pi luka wawa pu ona li jan pi pona mute tawa ona

1085,but this is me said bear,taso ona li mi li toki pi soweli pi luka wawa

1086,very much surprised,ona li pilin pi sin nasa

1087,what sort of me,‘mi’ seme

1088,pooh bear,soweli pi luka wawa pu

1089,are you sure said rabbit,sina pilin sona anu seme li toki pi soweli pi kute suli

1090,still more surprised,ona li pilin pi sin pi nasa mute

1091,quite quite sure said pooh,mi pilin sona a a li toki pi soweli pu

1092,oh well then come in,a ni la o kama lon insa

1093,so pooh pushed and pushed and pushed his way through the hole and at last he got in,ni la soweli pu li tawa kepeken noka en luka lon lupa nasin li kama lon insa lon pini pi tenpo suli

1094,you were quite right said rabbit,sina toki pona a li toki pi soweli pi kute suli

1095,looking at him all over,ona li lukin e ale ona

1096,it is you,ni la sina

1097,glad to see you,mi pilin pona tan ni

1098,who did you think it was,tawa sina la ni la jan seme

1099,well i wasn’t sure,mi pilin sona ala

1100,you know how it is in the forest,sina sona a e insa pi ma pi kasi suli

1101,one can’t have anybody coming into one’s house,jan li ken ala tawa insa tomo e jan mu

1102,one has to be careful,

1103,what about a mouthful of something,moku li pona anu seme

1104,pooh always liked a little something at eleven o’clock in the morning,tenpo ale la tawa soweli pu la moku lili lon pini pi kama pi tenpo suno li pona

1105,and he was very glad to see rabbit getting out the plates and mugs and when rabbit said honey or condensed milk with your bread,ona li pilin pi pona mute tan ni soweli pi kute suli li lon supa e poki li toki e ni ko suwi anu ko pi telo mama lon poka pi pan sina

1106,he was so excited that he said both,ona li pilin pi nasa wawa ni ona li toki sin e ni tu ale

1107,and then so as not to seem greedy he added but don’t bother about the bread please,ona li wile e ni ala ona li wile ike tan ni la ona li toki sin e ni sina ken awen weka e pan

1108,and for a long time after that he said nothing…,pini ni la tenpo suli la ona li toki ala…

1109,until at last humming to himself in a rather sticky voice he got up shook rabbit lovingly by the paw and said that he must be going on,pini ona la ona li kalama musi kepeken uta pi open ala tawa ona sama kepeken kalama uta ko a li kama sinpin li luka e luka pi soweli pi kute suli kepeken pilin li toki e ni ona li wile tawa

1110,must you said rabbit politely,sina wile anu seme li toki suwi pi soweli pi kute suli

1111,well said pooh i could stay a little longer if itif you,a  li toki pi soweli pu  mi ken awen lon tenpo sin lon ni…

1112,and he tried very hard to look in the direction of the larder,ona li lukin lukin tawa tomo pi poki moku

1113,as a matter of fact said rabbit i was going out myself directly,ni li lon  li toki pi soweli pi kute suli  mi sama li tawa weka

1114,oh well then i’ll be going on,a ni la mi tawa

1115,goodbye,mi tawa

1116,well goodbye if you’re sure you won’t have any more,a tawa pona lon ni sina pilin sona e ni sina wile ala e ijo sin

1117,is there any more asked pooh quickly,ijo sin li lon anu seme li toki pi soweli pu lon tenpo lili

1118,rabbit took the covers off the dishes and said no there wasn’t,soweli pi kute suli li weka e len tan poki moku li toki e ni ala lon ala

1119,i thought not said pooh,sama ni la tawa mi la ala li toki pi soweli pu

1120,nodding to himself,ona li a kepeken lawa tawa ona sama

1121,well goodbye,a mi tawa

1122,i must be going on,mi wile tawa

1123,so he started to climb out of the hole,ni la ona li kama tawa kepeken noka en luka tawa weka tan lupa

1124,he pulled with his front paws and pushed with his back paws,ona li lukin tan e ona sama kepeken luka li lukin tawa e ona kepeken noka

1125,and in a little while his nose was out in the open again…,pini pi tenpo lili la nena sinpin li kama…

1126,and then his ears…,kute li kama…

1127,and then his front paws…,luka li kama…

1128,and then his shoulders…,lawa sinpin li kama

1129,and then,ni la 

1130,oh help said pooh,o pana e pona li toki pi soweli pu

1131,i’d better go back,mi wile tawa monsi

1132,oh bother said pooh,a ike li toki pi soweli pu

1133,i shall have to go on,mi wile tawa sinpin

1134,i can’t do either said pooh,tu ale li ken ala li toki pi soweli pu

1135,oh help and bother,o pana e pona a ike

1136,now by this time rabbit wanted to go for a walk too,tenpo ni la sama ni la soweli pi kute suli li wile tawa weka

1137,and finding the front door full,taso ona li jo e lupa pi open ala

1138,he went out by the back door and came round to pooh and looked at him,tan ni la ona li tawa weka kepeken lupa pi monsi tomo li tawa lon poka sike tomo tawa soweli pu li lukin e ona

1139,hallo are you stuck he asked,toki sina lon insa ike anu seme li toki ona

1140,nno said pooh carelessly,aala li toki pi soweli pu kepeken pilin ala

1141,just resting,mi lape taso

1142,and thinking,mi toki insa taso

1143,and humming to myself,mi kalama musi taso kepeken uta pi open ala tawa mi sama

1144,here give us a paw,o o pana e luka

1145,pooh bear stretched out a paw,soweli pi luka wawa pu li lukin tawa weka e luka

1146,and rabbit pulled and pulled and pulled…,soweli pi kute suli li lukin tan e ona li lukin tan e ona li lukin tan e ona…

1147,ow cried pooh,a li toki wawa pi soweli pu

1148,you’re hurting,sina pana e pilin ike

1149,the fact is said rabbit,ni li lon li toki pi soweli pi kute suli

1150,you’re stuck,sina lon insa ike

1151,it all comes said pooh crossly of not having front doors big enough,ale ni li kama  li toki pi soweli pu kepeken pilin utala  tan ni jan li jo ala e lupa pi sinpin tomo pi suli pona

1152,it all comes said rabbit sternly of eating too much,ale ni li kama  li toki kiwen pi soweli pi kute suli  tan ni jan li moku ike

1153,i thought at the time said rabbit only i didn’t like to say anything said rabbit that one of us was eating too much said rabbit,tenpo la mi toki insa taso mi wile ala toki kalama e ni  li toki pi soweli pi kute suli  wan pi mi tu li moku ike li toki pi soweli pi kute suli

1154,and i knew if wasn’t me he said,mi sona e ni mi pali ala li toki ona

1155,well well i shall go and fetch christopher robin,ni ni mi tawa ni e jan kitopa jopin

1156,christopher robin lived at the other end of the forest,tomo pi jan kitopa jopin li lon poka ante pi ma pi kasi suli

1157,and when he came back with rabbit and saw the front half of pooh he said silly old bear in such a loving voice that everybody felt quite hopeful again,ona li tawa sin lon poka pi soweli pi kute suli li lukin e wan tu sinpin pi soweli pu la ona li toki e ni soweli nasa pi luka wawa o kepeken kalama uta pi suwi ni jan ale li pilin sin pi kama pona

1158,i was just beginning to think said bear sniffing slightly that rabbit might never be able to use his front door again,mi kama toki insa e ni  li toki pi soweli pi luka wawa kepeken kalama uta pi pilin ike  soweli pi kute suli li ken kepeken lupa tomo ona lon tenpo kama ala

1159,and i should hate that he said,ni li ike tawa mi

1160,so should i said rabbit,tawa mi a li toki pi soweli pi kute suli

1161,use his front door again said christopher robin,kepeken e lupa tomo ona li toki pi jan kitopa jopin

1162,of course he’ll use his front door again,ni li sona ona li kepeken lupa tomo ona lon tenpo sin

1163,good said rabbit,pona li toki pi soweli pi kute suli

1164,if we can’t pull you out pooh we might push you back,mi mute li ken ala tan e sina tawa weka soweli pu o ken la mi mute li wile tawa e sina tawa monsi

1165,rabbit scratched his whiskers thoughtfully and pointed out that when once pooh was pushed back he was back,jan soweli pi kute suli li toki insa li luka kiwen e linja uta li toki e ni jan li tawa monsi e soweli pu la ona li lon ni lon tenpo sin

1166,and of course nobody was more glad to see pooh than he was,sona li ni ona li pilin pi pona mute tan ni ona li lon poka pi soweli pu

1167,still there it was some lived in trees and some lived underground and,taso jan wan li jo e tomo lon kasi suli jan ante li jo e tomo lon anpa ma…

1168,you mean i’d never get out said pooh,sina toki e ni anu seme tenpo ala la mi ken tawa weka li toki pi soweli pu

1169,i mean said rabbit that having got so far it seems a pity to waste it,mi toki e ni mute li kama tawa mi la ona li kama weka ike la ni li pana e pilin ike

1170,christopher robin nodded,jan kitopa jopin li a kepeken lawa

1171,then there’s only one thing to be done he said,ni la ken li wan taso li toki ona

1172,we shall have to wait for you to get thin again,mi mute o awen lon tenpo ni sina kama suli ala lon tenpo sin

1173,how long does getting thin take asked pooh anxiously,tenpo ni jan li kama suli ala li suli anu seme li toki pi soweli pu pi pilin akesi

1174,about a week i should think,tawa mi la ni li sama tenpo suno esun

1175,but i can’t stay here for a week,taso mi ken ala awen lon ni lon ale pi tenpo suno esun

1176,you can stay here all right silly old bear,sina ken a awen lon ni soweli nasa pi luka wawa o

1177,it’s getting you out which is so difficult,ni taso li ike pali sina li kama tan

1178,we’ll read to you said rabbit cheerfully,mi mute li ken lukin e sitelen tawa sina li toki pi soweli pi kute suli kepeken pilin pona

1179,and i hope it won’t snow he added,kama pi ken ni taso li pona tawa mi telo ko kiwen li kama anpa ala li toki sin ona

1180,and i say old fellow you’re taking up a good deal of room in my house,mi toki e ni jan pona o sina lon insa mute pi tomo mi

